flow_id,firstIp,secondIp,firstPort,secondPort,fwd_count,bwd_count,N_IN_Conn_P_DstIP,TnP_PDstIP,Srate,Drate,Dur,Bytes,proto_number
11915,10.0.2.2,10.0.5.5,33479,5000,6,0,3,16,1.1660812614822564,0.0,5.145439,6396,17
49617,10.0.5.5,10.0.7.7,0,0,2,0,1,2,0.38946254558172266,0.0,5.135282,152,1
1305,10.0.1.1,10.0.5.5,80,2004,1,1,17,22,0.010944780125715247,0.010944780125715247,91.367756,108,6
62745,10.0.1.1,10.0.5.5,80,2007,1,1,17,22,0.012040271722925799,0.012040271722925799,83.054604,108,6
1308,10.0.1.1,10.0.5.5,80,2008,1,1,17,22,0.012091926647422526,0.012091926647422526,82.699807,108,6
62748,10.0.1.1,10.0.5.5,80,2011,1,1,17,22,0.010945052770477427,0.010945052770477427,91.36548,108,6
21791,10.0.1.1,10.0.5.5,80,2013,1,1,17,22,0.01204710214547565,0.01204710214547565,83.007514,108,6
42271,10.0.1.1,10.0.5.5,80,2014,1,1,17,22,0.010901625832501293,0.010901625832501293,91.729437,108,6
21774,10.0.1.1,10.0.5.5,80,2017,1,1,17,22,0.011490444385582728,0.011490444385582728,87.028836,108,6
42254,10.0.1.1,10.0.5.5,80,2018,1,1,17,22,0.01115576428883001,0.01115576428883001,89.639757,108,6
1293,10.0.1.1,10.0.5.5,80,2020,1,1,17,22,0.011402818521315335,0.011402818521315335,87.697616,108,6
62733,10.0.1.1,10.0.5.5,80,2023,1,1,17,22,0.011033794371604115,0.011033794371604115,90.630654,108,6
1288,10.0.1.1,10.0.5.5,80,2024,1,1,17,22,0.01112588368861006,0.01112588368861006,89.880501,108,6
11915,10.0.2.2,10.0.5.5,33479,5000,4,0,17,22,0.7782139018185886,0.0,5.139975,4264,17
62728,10.0.1.1,10.0.5.5,80,2027,1,1,17,22,0.011423785710982608,0.011423785710982608,87.536656,108,6
21771,10.0.1.1,10.0.5.5,80,2029,1,1,17,22,0.011107245296092725,0.011107245296092725,90.031324,108,6
48657,10.0.3.3,10.0.5.5,60531,5001,3,0,17,22,0.4757779842301801,0.0,6.305462,165,17
42251,10.0.1.1,10.0.5.5,80,2030,1,1,17,22,0.011377073721981453,0.011377073721981453,87.896064,108,6
1282,10.0.1.1,10.0.5.5,80,2032,1,1,17,22,0.011148257600915477,0.011148257600915477,89.700116,108,6
62722,10.0.1.1,10.0.5.5,80,2035,1,1,7,7,0.010791644733098398,0.010791644733098398,92.664281,108,6
21761,10.0.1.1,10.0.5.5,80,2037,1,1,7,7,0.011130689623135218,0.011130689623135218,89.841693,108,6
42241,10.0.1.1,10.0.5.5,80,2038,1,1,7,7,0.010784609572706327,0.010784609572706327,92.724729,108,6
21764,10.0.1.1,10.0.5.5,80,2041,1,1,7,7,0.010674354593029076,0.010674354593029076,93.682479,108,6
42244,10.0.1.1,10.0.5.5,80,2042,1,1,7,7,0.011016357947556453,0.011016357947556453,90.774102,108,6
1287,10.0.1.1,10.0.5.5,80,2044,1,1,7,7,0.010578150732343358,0.010578150732343358,94.534482,108,6
62727,10.0.1.1,10.0.5.5,80,2047,1,1,7,7,0.010915907873710936,0.010915907873710936,91.609421,108,6
65365,10.0.4.4,10.0.5.5,41764,80,3,0,1,3,0.45567449166092894,0.0,6.583647,159,17
28964,10.0.1.1,10.0.5.5,2151,80,2,0,18,41,0.019442974339551326,0.0,102.86492,108,6
25895,10.0.1.1,10.0.5.5,2152,80,2,0,18,41,0.019423610383197825,0.0,102.967469,108,6
