flow_id,switch_name,controller_name,firstIp,secondIp,firstPort,secondPort,first_count,second_count,first_rate,second_rate,Dur,Bytes,proto_number,N_Conn_P_FirstIP,N_Conn_P_SecondIP,Avg_Packet_Size,N_PortP_FirstIp,N_PortP_SecondIp,label
61983,s9,C5,10.0.6.5,10.0.9.1,16154,80,1,0,0.0,0.0,0.0,42,17,1,8,41.99995800004201,2,54,1
55072,s9,C5,10.0.2.5,10.0.9.2,1000,9613,1,0,0.0,0.0,0.0,42,17,1,5,41.99995800004201,42,5,1
5654,s9,C5,10.0.6.5,10.0.9.1,16177,80,1,0,0.0,0.0,0.0,42,17,1,8,41.99995800004201,2,54,1
59196,s9,C5,10.0.2.5,10.0.9.2,1000,9634,1,0,0.0,0.0,0.0,42,17,1,5,41.99995800004201,42,5,1
5639,s9,C5,10.0.6.5,10.0.9.1,16225,80,1,0,0.0,0.0,0.0,42,17,1,8,41.99995800004201,2,54,1
28162,s9,C5,10.0.6.5,10.0.9.1,16243,80,1,0,0.0,0.0,0.0,42,17,1,8,41.99995800004201,2,54,1
59313,s9,C5,10.0.2.5,10.0.9.2,1000,9742,1,0,0.0,0.0,0.0,42,17,1,5,41.99995800004201,42,5,1
17976,s9,C5,10.0.6.5,10.0.9.1,16301,80,1,0,0.0,0.0,0.0,42,17,1,8,41.99995800004201,2,54,1
29146,cs5,C5,10.0.3.1,10.0.9.1,35596,8080,1,3,0.0944620400985692,0.2833861202957077,10.586263,1951,6,1,8,487.74987806253046,1,54,0
53336,cs5,C5,10.0.6.5,10.0.9.1,17044,80,1,1,0.0009483097412519,0.0009483097412519,1054.50778,96,17,1,8,47.999976000012,2,54,0
26815,cs5,C5,10.0.4.2,10.0.9.2,37020,5017,2,3,0.3184182509699418,0.4776273764549127,6.281047,368,6,1,5,73.59998528000294,1,5,0
9430,cs5,C5,10.0.2.5,10.0.9.2,1000,10694,1,1,0.0019805939503375,0.0019805939503375,504.899048,399,17,1,5,199.49990025004985,42,5,0
43640,cs5,C5,10.0.4.1,10.0.9.1,52724,8080,2,1,0.3148001562038375,0.1574000781019187,6.353237,812,6,1,8,270.6665764444745,1,54,0
6027,s9,C5,10.0.2.5,10.0.9.2,1000,10133,1,1,0.002583355391098,0.002583355391098,387.093469,88,17,1,5,43.999978000011,42,5,0
21162,cs5,C5,10.0.1.5,10.0.9.2,59958,5002,6,0,0.3862927370140936,0.0,15.532262,318,17,1,5,52.99999116666814,2,5,0
22530,cs5,C5,10.0.6.5,10.0.9.1,16882,80,1,0,0.0,0.0,0.0,42,17,1,8,41.99995800004201,2,54,1
46270,cs5,C5,10.0.2.5,10.0.9.2,1000,10587,1,0,0.0,0.0,0.0,42,17,1,5,41.99995800004201,42,5,1
4209,cs5,C5,10.0.6.5,10.0.9.1,16916,80,1,0,0.0,0.0,0.0,42,17,1,8,41.99995800004201,2,54,1
17578,cs5,C5,10.0.2.5,10.0.9.2,1000,10600,1,0,0.0,0.0,0.0,42,17,1,5,41.99995800004201,42,5,1
38010,cs5,C5,10.0.6.5,10.0.9.1,16951,80,1,0,0.0,0.0,0.0,42,17,1,8,41.99995800004201,2,54,1
58600,cs5,C5,10.0.2.5,10.0.9.2,1000,10642,1,0,0.0,0.0,0.0,42,17,1,5,41.99995800004201,42,5,1
13421,cs5,C5,10.0.6.5,10.0.9.1,17023,80,1,0,0.0,0.0,0.0,42,17,1,8,41.99995800004201,2,54,1
34034,cs5,C5,10.0.2.5,10.0.9.2,1000,10676,1,0,0.0,0.0,0.0,42,17,1,5,41.99995800004201,42,5,1
58611,cs5,C5,10.0.2.5,10.0.9.2,1000,10678,1,0,0.0,0.0,0.0,42,17,1,5,41.99995800004201,42,5,1
25682,cs5,C5,10.0.6.5,10.0.9.1,17075,80,1,0,0.0,0.0,0.0,42,17,1,8,41.99995800004201,2,54,1
13393,cs5,C5,10.0.6.5,10.0.9.1,17087,80,1,0,0.0,0.0,0.0,42,17,1,8,41.99995800004201,2,54,1
42061,cs5,C5,10.0.6.5,10.0.9.1,17171,80,1,0,0.0,0.0,0.0,42,17,1,8,41.99995800004201,2,54,1
8262,cs5,C5,10.0.6.5,10.0.9.1,17200,80,1,0,0.0,0.0,0.0,42,17,1,8,41.99995800004201,2,54,1
48219,cs5,C5,10.0.6.5,10.0.9.1,17241,80,1,0,0.0,0.0,0.0,42,17,1,8,41.99995800004201,2,54,1
28755,cs5,C5,10.0.9.1,10.0.10.1,32523,44021,0,1,0.0,0.0,0.0,46,17,8,1,45.999954000046,10,5,0
2146,cs5,C5,10.0.6.5,10.0.9.1,17294,80,1,0,0.0,0.0,0.0,42,17,1,8,41.99995800004201,2,54,1
49698,s9,C5,10.0.6.5,10.0.9.1,16350,80,1,0,0.0,0.0,0.0,42,17,1,8,41.99995800004201,2,54,1
10127,s9,C5,10.0.2.5,10.0.9.2,1000,9818,1,0,0.0,0.0,0.0,42,17,1,5,41.99995800004201,42,5,1
5712,s9,C5,10.0.9.1,10.0.9.3,48871,48041,0,1,0.0,0.0,0.0,46,17,8,1,45.999954000046,10,4,0
12840,s9,C5,10.0.6.5,10.0.9.1,16378,80,1,0,0.0,0.0,0.0,42,17,1,8,41.99995800004201,2,54,1
